region_id,system_id,system_name,security_status,planet_id,planet_name,planet_type,celestial_index
10000001,30000001,Tanoo,0.86,40000002,Tanoo I,Temperate,1
10000001,30000001,Tanoo,0.86,40000005,Tanoo II,Temperate,2
10000001,30000001,Tanoo,0.86,40000007,Tanoo III,Storm,3
10000001,30000001,Tanoo,0.86,40000008,Tanoo IV,Lava,4
10000001,30000001,Tanoo,0.86,40000011,Tanoo V,Gas,5
10000001,30000001,Tanoo,0.86,40000017,Tanoo VI,Lava,6
10000001,30000002,Lashesih,0.75,40000020,Lashesih I,Storm,1
10000001,30000002,Lashesih,0.75,40000022,Lashesih II,Storm,2
10000001,30000002,Lashesih,0.75,40000024,Lashesih III,Barren,3
10000001,30000002,Lashesih,0.75,40000028,Lashesih IV,Temperate,4
10000001,30000002,Lashesih,0.75,40000031,Lashesih V,Temperate,5
10000001,30000002,Lashesih,0.75,40000033,Lashesih VI,Temperate,6
10000001,30000002,Lashesih,0.75,40000037,Lashesih VII,Temperate,7
10000001,30000003,Akpivem,0.85,40000041,Akpivem I,Storm,1
10000001,30000003,Akpivem,0.85,40000043,Akpivem II,Lava,2
10000001,30000003,Akpivem,0.85,40000046,Akpivem III,Gas,3
10000001,30000003,Akpivem,0.85,40000055,Akpivem IV,Gas,4
10000001,30000003,Akpivem,0.85,40000074,Akpivem V,Gas,5
10000001,30000003,Akpivem,0.85,40000100,Akpivem VI,Gas,6
10000001,30000003,Akpivem,0.85,40000123,Akpivem VII,Ice,7
10000001,30000004,Jark,0.82,40000130,Jark I,Plasma,1
10000001,30000004,Jark,0.82,40000132,Jark II,Temperate,2
10000001,30000004,Jark,0.82,40000134,Jark III,Plasma,3
10000001,30000004,Jark,0.82,40000137,Jark IV,Temperate,4
10000001,30000004,Jark,0.82,40000139,Jark V,Gas,5
10000001,30000004,Jark,0.82,40000164,Jark VI,Gas,6
10000001,30000004,Jark,0.82,40000185,Jark VII,Gas,7
10000001,30000005,Sasta,0.81,40000191,Sasta I,Storm,1
10000001,30000005,Sasta,0.81,40000193,Sasta II,Barren,2
10000001,30000005,Sasta,0.81,40000194,Sasta III,Gas,3
10000001,30000005,Sasta,0.81,40000196,Sasta IV,Gas,4
10000001,30000005,Sasta,0.81,40000200,Sasta V,Gas,5
10000001,30000005,Sasta,0.81,40000215,Sasta VI,Gas,6
10000001,30000005,Sasta,0.81,40000236,Sasta VII,Gas,7
10000001,30000005,Sasta,0.81,40000256,Sasta VIII,Gas,8
10000001,30000005,Sasta,0.81,40000282,Sasta IX,Ice,9
10000001,30000006,Zaid,0.86,40000292,Zaid I,Barren,1
10000001,30000006,Zaid,0.86,40000293,Zaid II,Storm,2
10000001,30000006,Zaid,0.86,40000294,Zaid III,Storm,3
10000001,30000006,Zaid,0.86,40000297,Zaid IV,Storm,4
10000001,30000006,Zaid,0.86,40000298,Zaid V,Plasma,5
10000001,30000006,Zaid,0.86,40000300,Zaid VI,Lava,6
10000001,30000006,Zaid,0.86,40000304,Zaid VII,Gas,7
10000001,30000006,Zaid,0.86,40000323,Zaid VIII,Storm,8
10000001,30000006,Zaid,0.86,40000326,Zaid IX,Gas,9
10000001,30000007,Yuzier,0.91,40000333,Yuzier I,Storm,1
10000001,30000007,Yuzier,0.91,40000335,Yuzier II,Temperate,2
10000001,30000007,Yuzier,0.91,40000337,Yuzier III,Temperate,3
10000001,30000007,Yuzier,0.91,40000339,Yuzier IV,Barren,4
10000001,30000007,Yuzier,0.91,40000341,Yuzier V,Gas,5
10000001,30000007,Yuzier,0.91,40000348,Yuzier VI,Plasma,6
10000001,30000007,Yuzier,0.91,40000352,Yuzier VII,Storm,7
10000001,30000007,Yuzier,0.91,40000355,Yuzier VIII,Gas,8
10000001,30000008,Nirbhi,0.88,40000382,Nirbhi I,Storm,1
10000001,30000008,Nirbhi,0.88,40000384,Nirbhi II,Storm,2
10000001,30000008,Nirbhi,0.88,40000386,Nirbhi III,Temperate,3
10000001,30000008,Nirbhi,0.88,40000389,Nirbhi IV,Temperate,4
10000001,30000008,Nirbhi,0.88,40000391,Nirbhi V,Gas,5
